LINE,BLUE_GY,TESTER
10611,176.7916479,209
10612,201.0946085,209
10613,144.8816479,209
10614,167.8816479,209
10615,150.120317,209
10616,185.2129788,209
10617,152.0666479,209
10618,177.730317,209
10619,160.0466479,209
10620,186.2116479,209
10621,134.0166479,209
10622,156.5666479,209
10623,173.5666479,209
10624,168.8666479,209
10626,159.2866479,209
10627,158.7966479,209
10628,169.8116479,209
10629,177.4316479,209
10630,177.0816479,209
10631,184.0816479,209
10632,171.4966479,209
10633,183.0566479,209
10634,159.690317,209
10635,190.7966479,209
10636,186.1016479,209
10637,166.2816479,209
10638,166.6966479,209
10639,181.8016479,209
10640,152.3316479,209
10641,179.5366479,209
10642,186.3016479,209
10643,165.4316479,209
10644,177.0066479,209
10646,183.9466479,209
10647,164.7566479,209
10648,163.0816479,209
10649,171.6316479,209
10650,186.2266479,209
10651,166.5766479,209
10652,170.8116479,209
10653,167.2216479,209
10654,161.3166479,209
10655,153.2966479,209
10656,186.6366479,209
10657,170.7766479,209
10658,179.7216479,209
10659,166.9616479,209
10660,159.6716479,209
10661,179.8716479,209
10662,179.2516479,209
10663,136.3266479,209
10664,179.5966479,209
10665,170.0016479,209
10666,173.2466479,209
10667,139.6216479,209
10668,184.0416479,209
10669,191.7216479,209
10670,157.7966479,209
10671,179.9455569,209
10672,172.8466479,209
10673,134.1266479,209
10674,187.3016479,209
10675,193.3116479,209
10676,184.8166479,209
10677,142.4266479,209
10678,173.5616479,209
10679,207.6466479,209
10680,177.5116479,209
10681,173.4914729,209
10682,170.4866479,209
10683,170.2216479,209
10684,178.4616479,209
10685,158.3016479,209
10686,170.7816479,209
10687,175.2166479,209
10688,152.3416479,209
10689,184.3816479,209
10690,181.0316479,209
10691,151.8466479,209
10692,173.5366479,209
10693,182.5566479,209
10694,140.1416479,209
10695,178.2966479,209
10696,165.6166479,209
10697,172.5966479,209
10698,166.2416479,209
10699,175.9866479,209
10700,166.5916479,209
10701,175.5666479,209
10702,193.2966479,209
10703,156.7516479,209
10704,209.8516479,209
10705,161.0616479,209
10706,184.1416479,209
10707,154.5116479,209
10708,165.0166479,209
10709,183.7566479,209
10710,160.0516479,209
10711,154.3316479,209
10712,178.9541444,209
10713,178.8066479,209
10714,176.1422101,209
10715,175.7466479,209
10716,159.7916479,209
10717,160.8934983,209
10718,157.4322919,209
10719,184.6016479,209
10720,160.7416479,209
10721,166.1516479,209
10722,187.0116479,209
10723,151.7166479,209
10724,166.0966479,209
10725,169.8166479,209
10726,162.4478387,209
10727,161.6066479,209
10728,156.6416479,209
10729,157.1516479,209
10730,138.3716479,209
10731,176.5366479,209
10732,172.564157,209
10733,158.4616479,209
10734,186.077936,209
10735,177.1016479,209
10736,180.0016479,209
10737,146.0196627,209
10738,171.1656716,209
10739,161.7287526,209
10740,150.2771097,209
10741,148.2996545,209
10742,162.0080832,209
11203,163.8103915,209
11204,149.6753915,209
11205,169.0103915,209
11206,158.7753915,209
11207,153.2503915,209
11208,153.4903915,209
11209,152.2603915,209
11210,171.4103915,209
11211,159.7503915,209
11212,152.3353915,209
11213,144.6953915,209
11214,159.4753915,209
11215,167.2253915,209
11216,159.2803915,209
11217,176.5303915,209
11218,165.2853915,209
11219,135.0103915,209
11220,138.9103915,209
11221,151.5303915,209
11222,131.5553915,209
11223,163.4453915,209
11224,159.8803915,209
11225,141.8503915,209
11226,148.8803915,209
11227,167.1203915,209
11228,174.0503915,209
11229,145.7703915,209
11230,172.8603915,209
11231,139.6153915,209
11232,155.6603915,209
11233,162.9653915,209
11234,133.1303915,209
11235,148.2503915,209
11236,150.9303915,209
11237,147.3853915,209
11238,142.2453915,209
11239,158.1403915,209
11240,174.9653915,209
11241,157.4803915,209
11242,164.1153915,209
11243,181.1803915,209
11244,148.2503915,209
11245,164.9753915,209
11246,165.3253915,209
11247,152.8703915,209
11248,128.2453915,209
11249,156.8053915,209
11250,179.0703915,209
11251,146.6403915,209
11252,157.8203915,209
11253,156.8803915,209
11254,159.1703915,209
11255,159.2453915,209
11256,158.0103915,209
11257,133.1653915,209
11258,161.9953915,209
11259,169.7903915,209
11262,145.0039096,209
11263,174.5358603,209
11264,155.5640465,209
11265,161.1896325,209
11266,168.1251173,209
11267,146.2313407,209
11268,150.8604302,209
11269,158.5697879,209
11270,164.9447905,209
11271,165.4669446,209
11272,172.314471,209
11273,165.4494089,209
11274,173.0285448,209
11275,169.563,209
11276,173.2158937,209
11277,163.0333045,209
11278,152.8310314,209
11279,146.3684999,209
11280,175.7004481,209
11281,155.8084964,209
11282,145.8707221,209
11283,151.0970569,209
11284,158.6386688,209
11285,159.1225343,209
11286,165.9011597,209
11287,154.3547291,209
11288,155.870466,209
11289,174.5703915,209
11290,152.5803915,209
11291,159.5153915,209
11292,159.0355631,209
11293,171.8903915,209
11294,161.0001892,209
11295,166.3155043,209
11296,153.8279456,209
11297,155.1396085,209
11298,164.8353915,209
11299,177.0553915,209
11300,164.7415258,209
11301,175.2103915,209
11302,164.5545393,209
11303,159.5016611,209
11304,162.8453915,209
11305,158.3108572,209
11306,158.0395928,209
11307,161.8323877,209
11308,179.3503915,209
11309,166.5503915,209
11310,158.5148166,209
11311,138.7535751,209
11312,202.470317,209
11313,152.7553915,209
11314,160.5356057,209
11315,157.1486582,209
11316,136.2903915,209
11317,164.5303915,209
11318,131.6334178,209
11319,155.8103915,209
11320,166.6247746,209
11321,169.0853915,209
11322,161.6610847,209
11323,162.8103915,209
11324,176.2403915,209
11325,168.7253915,209
11326,162.8742988,209
11327,164.7346599,209
11328,160.2003915,209
11329,177.2253915,209
11330,163.0703915,209
11331,191.9253915,209
11332,139.8399482,209
11333,162.01379,209
11334,162.2803915,209
11335,172.6668836,209
