En,NUM,ENTRY,REP,k,ER,PH,GY
1,837,NEC061,3,NEC0613,0.8,15.9,996.9
1,60,NEC062,1,NEC0621,0.9,22.17,432.06
1,450,NEC062,2,NEC0622,0.86,16.83,720.81
1,838,NEC062,3,NEC0623,0.97,21.23,911.72
1,61,NEC064,1,NEC0641,0.27,11.67,192.61
1,451,NEC064,2,NEC0642,0.17,12.53,194.92
1,839,NEC064,3,NEC0643,0.19,12.03,341.91
1,62,NEC065,1,NEC0651,0.03,5,.
1,63,NEC066,1,NEC0661,0.6,14.9,166.54
1,452,NEC066,2,NEC0662,0.87,11.4,523.57
1,840,NEC066,3,NEC0663,0.93,15.87,913.21
1,64,NEC067,1,NEC0671,0.79,13.77,338.42
1,453,NEC067,2,NEC0672,0.8,12,547.79
1,841,NEC067,3,NEC0673,1,17,513.81
1,65,NEC068,1,NEC0681,0.83,14.83,324.34
1,454,NEC068,2,NEC0682,0.97,10.83,1162.66
1,842,NEC068,3,NEC0683,1,13.73,1064.86
1,66,NEC069,1,NEC0691,0.93,15.77,586.72
1,455,NEC069,2,NEC0692,0.7,15.03,507.86
1,843,NEC069,3,NEC0693,0.8,15.1,498.78
1,67,NEC070,1,NEC0701,0.33,7.17,241.82
1,456,NEC070,2,NEC0702,0.1,7.47,80.61
1,844,NEC070,3,NEC0703,0.33,9.53,133.81
1,68,NEC071,1,NEC0711,0.43,7.67,164.18
1,457,NEC071,2,NEC0712,0.6,12.23,133.76
1,845,NEC071,3,NEC0713,0.53,10,194.17
1,69,NEC072,1,NEC0721,0.9,20.53,.
1,458,NEC072,2,NEC0722,0.93,15.7,.
1,846,NEC072,3,NEC0723,1,18.57,1163.43
1,70,NEC073,1,NEC0731,0.83,16.23,.
1,459,NEC073,2,NEC0732,0.83,12.3,.
1,847,NEC073,3,NEC0733,0.9,14.2,174.03
1,71,NEC074,1,NEC0741,0.97,18.73,232.53
1,460,NEC074,2,NEC0742,1,16.53,361.25
1,848,NEC074,3,NEC0743,0.93,16.47,420.75
1,72,NEC075,1,NEC0751,0.97,18.17,.
1,461,NEC075,2,NEC0752,1,16.1,876.52
1,849,NEC075,3,NEC0753,0.97,18.3,553.17
1,73,NEC076,1,NEC0761,0.93,17.9,168.72
1,462,NEC076,2,NEC0762,0.97,18.33,.
1,850,NEC076,3,NEC0763,0.8,17.77,347.51
1,74,NEC077,1,NEC0771,0.9,16.17,1003.05
1,463,NEC077,2,NEC0772,0.97,15.7,717.72
1,851,NEC077,3,NEC0773,0.9,13.93,795.49
1,75,NEC078,1,NEC0781,0.9,15.57,432.93
1,464,NEC078,2,NEC0782,0.9,15.07,241.44
1,852,NEC078,3,NEC0783,0.97,15.17,374.69
1,76,NEC079,1,NEC0791,0.87,14.67,718.74
1,465,NEC079,2,NEC0792,1,16.17,303.13
1,853,NEC079,3,NEC0793,0.93,15,1074.25
1,77,NEC080,1,NEC0801,0.8,13.97,102.44
1,466,NEC080,2,NEC0802,0.93,13.83,221.76
1,854,NEC080,3,NEC0803,0.43,12.83,434.92
1,78,NEC081,1,NEC0811,0.87,20.7,.
1,467,NEC081,2,NEC0812,0.97,18.33,493.74
1,855,NEC081,3,NEC0813,1,18.9,785.37
1,79,NEC082,1,NEC0821,0.87,16.4,620.31
1,468,NEC082,2,NEC0822,0.77,14.83,337.58
1,856,NEC082,3,NEC0823,0.17,13.37,297.27
1,80,NEC083,1,NEC0831,0.97,16.8,566.31
1,469,NEC083,2,NEC0832,1,16.43,495.25
1,857,NEC083,3,NEC0833,0.97,14.67,.
1,81,NEC084,1,NEC0841,0.97,18.7,928.51
1,470,NEC084,2,NEC0842,0.87,14.83,436.09
1,858,NEC084,3,NEC0843,0.93,17.97,839.92
1,82,NEC085,1,NEC0851,0.9,16.57,674.51
1,471,NEC085,2,NEC0852,0.87,16.33,535.34
1,859,NEC085,3,NEC0853,0.7,15.93,490.29
1,83,NEC086,1,NEC0861,0.97,20.63,843.54
1,472,NEC086,2,NEC0862,0.9,16.53,629.09
1,860,NEC086,3,NEC0863,0.93,15.03,1114.92
1,84,NEC087,1,NEC0871,0.9,16.83,1133
1,473,NEC087,2,NEC0872,0.9,17.83,696.28
1,861,NEC087,3,NEC0873,0.97,17.57,1195.8
1,85,NEC088,1,NEC0881,0.93,18.83,771.29
1,474,NEC088,2,NEC0882,0.97,15.57,441.84
1,862,NEC088,3,NEC0883,0.8,18.73,563.76
1,86,NEC089,1,NEC0891,0.7,15.33,.
1,475,NEC089,2,NEC0892,0.77,13.53,453.67
1,863,NEC089,3,NEC0893,0.6,12.83,721.84
1,87,NEC090,1,NEC0901,0.68,13.37,.
1,476,NEC090,2,NEC0902,0.43,12.73,294.38
1,864,NEC090,3,NEC0903,0.48,12.37,257.49
1,88,NEC091,1,NEC0911,0.7,17.57,.
1,477,NEC091,2,NEC0912,0.77,14.43,798.91
1,865,NEC091,3,NEC0913,0.8,12,602.74
1,89,NEC092,1,NEC0921,0.73,15.77,487.19
1,478,NEC092,2,NEC0922,0.9,14.13,439.6
1,866,NEC092,3,NEC0923,0.6,13.57,582.32
1,90,NEC093,1,NEC0931,0.9,17,499.36
1,479,NEC093,2,NEC0932,0.93,14,949.68
1,867,NEC093,3,NEC0933,0.93,13.9,801.03
1,91,NEC094,1,NEC0941,1,15.47,606.74
1,480,NEC094,2,NEC0942,1.03,12.07,724.67
1,868,NEC094,3,NEC0943,0.93,12.9,600.49
1,92,NEC095,1,NEC0951,0.97,15.57,310.91
1,481,NEC095,2,NEC0952,0.93,16.3,331.97
1,869,NEC095,3,NEC0953,0.93,16.47,552.93
1,93,NEC096,1,NEC0961,0.97,14.9,666.04
1,482,NEC096,2,NEC0962,0.97,13.27,394.96
1,870,NEC096,3,NEC0963,1,13,.
1,94,NEC097,1,NEC0971,0.97,19.87,559.05
1,483,NEC097,2,NEC0972,1,17.53,1164.89
1,871,NEC097,3,NEC0973,0.83,15.9,1360.47
1,95,NEC098,1,NEC0981,0.73,18,284.79
1,484,NEC098,2,NEC0982,0.93,17.9,140.28
1,872,NEC098,3,NEC0983,0.9,15.93,184.72
1,96,NEC099,1,NEC0991,0.93,19.27,1298.57
1,485,NEC099,2,NEC0992,0.9,16.5,1493.35
1,873,NEC099,3,NEC0993,0.87,15.93,1478.6
1,97,NEC100,1,NEC1001,0.5,14.47,185.97
1,486,NEC100,2,NEC1002,0.37,12.5,394.54
1,874,NEC100,3,NEC1003,0.57,12.9,369.15
1,98,NEC101,1,NEC1011,0.97,18.3,877.52
1,487,NEC101,2,NEC1012,0.9,15.9,1007.7
1,875,NEC101,3,NEC1013,0.87,15.43,1210.17
1,99,NEC102,1,NEC1021,0.97,19,803.02
1,488,NEC102,2,NEC1022,0.93,17.9,421.03
1,876,NEC102,3,NEC1023,0.83,17.23,683.15
1,100,NEC103,1,NEC1031,0.83,11.7,.
1,489,NEC103,2,NEC1032,0.93,19.23,369.62
1,877,NEC103,3,NEC1033,0.97,15.87,567.19
1,101,NEC104,1,NEC1041,0.53,16.5,714.45
1,490,NEC104,2,NEC1042,0.83,11.47,735.69
1,878,NEC104,3,NEC1043,0.63,12.93,747.05
1,102,NEC105,1,NEC1051,0.76,16.9,95.31
1,491,NEC105,2,NEC1052,1.03,16,485.26
1,879,NEC105,3,NEC1053,0.8,15.13,299.95
1,103,NEC106,1,NEC1061,0.9,17.13,355.36
1,492,NEC106,2,NEC1062,1,13.77,625.81
1,880,NEC106,3,NEC1063,0.97,12.73,621.02
1,104,NEC107,1,NEC1071,0.7,14.3,509.62
1,493,NEC107,2,NEC1072,0.63,13,542.86
1,881,NEC107,3,NEC1073,0.7,12.57,531.44
1,105,NEC108,1,NEC1081,0.83,15.33,.
1,494,NEC108,2,NEC1082,0.9,14.27,609.61
1,882,NEC108,3,NEC1083,0.87,16.63,746.39
1,106,NEC109,1,NEC1091,0.77,15.1,694.33
1,495,NEC109,2,NEC1092,0.33,14,.
